Route,Stop,Ridership,Name,Lat,Lon
24,524,85,Strawberry Way/Steel Tower,40.441422,-79.995349
1,165,242,6th and New Castle going down hill,40.862748,-79.908656
1,204,30,Alameda Park Rd at Plaza entrance,40.871909,-79.93176
1,192,292,Stop sign at Bank,40.876782,-79.951377
1,238,"1,488",Chestnut and Rt.68 (Jefferson),40.861182,-79.900471
1,235,454,Chestnut and Brady St.,40.863503,-79.900515
1,237,128,Chestnut and New Castle,40.861804,-79.900458
1,236,339,Chestnut and North St.,40.862463,-79.900489
1,29,207,Cunningham and 3rd,40.862189,-79.905586
1,146,253,Cunningham and Chestnut,40.859875,-79.900297
1,239,"1,153",Doughboy Park - Mercer and 68,40.862259,-79.905573
1,184,4,Duffy and Hazelette,40.863944,-79.939676
1,185,32,Duffy and Route 68,40.867587,-79.939845
1,11,83,East Penn at N McKean RT1,40.865039,-79.893429
1,39,896,Cunningham St by former Family Video,40.861769,-79.904538
1,3,"2,014",Franklin and Brady St.,40.863375,-79.891275
1,4,533,Franklin and Penn,40.864952,-79.891228
1,191,"3,531",Giant Eagle at Moraine Point Plaza,40.875212,-79.949994
1,17,117,Hansen and Austin Ave.,40.859666,-79.910859
1,21,95,Hansen Ave. and Woodrow St.,40.853803,-79.911833
1,259,114,Home Depot/Lowes Rt1,40.872851,-79.952406
1,168,255,Kings Restaurant by Motel sign,40.867963,-79.923375
1,222,252,Kohls,40.87909,-79.947854
1,166,120,Edwards and BHS Entrance,40.866957,-79.921029
1,194,123,New Castle Rd at McCandless,40.872489,-79.938647
1,193,66,New Castle at Hindman across from Sheetz,40.877019,-79.948906
1,15,701,New Castle and N. 6th Ave.,40.862823,-79.908412
1,186,"1,058",Stop Sign by Ollies,40.874882,-79.951463
1,195,786,Panera in Butler Commons,40.876266,-79.944207
1,200,"1,092",Park Manor Shelter,40.872778,-79.931449
1,7,650,Penn and Bluff St.,40.86513,-79.898972
1,5,486,Penn and Main St.,40.865076,-79.895016
1,8,681,Penn and Chestnut St.,40.865132,-79.900465
1,6,112,Penn and Washington St.,40.865099,-79.896754
1,28,443,Penndot center in Point Plaza,40.869049,-79.929303
1,258,849,Renaissance @ Steps,40.855365,-79.911339
1,187,54,Route 68 and Eberhart,40.866541,-79.954262
1,188,59,Route 68 and back entrance of VA,40.867724,-79.944309
